CODIGO,UBICACIÓN,PRODUCTO,DESCRIPCIÓN,MARCA,MODELO,STOCK,OBSERVACIONES,IMAGEN,FECHA DE INGRESO
S0439,AREA A,ORGANIZADOR,"ORGANIZADOR DE CABLES PARA DOS UNIDADES DE RACK, CON TAPA METALICA ABATIBLE.",THELECOM,THE-004-0032-001-001,3,,,06/09/2023
S0440,AREA EX1,CAJA PARA HERRAMIENTA,CAJA PARA HERRAMIENTA DEWALT-CAJA SUPERIOR ORGANIZADO,DEWALT,DWST17807,2,,,12/09/2023
S0441,,SPLITTER,"SPLITTER 1X8, COLOR AZUL",S/M,S/M,104,,,06/09/2023
S0442,,CINTA ADHESIVA,CINTA ADHESIVA 72MMX150MM,NAVITEK,245,9,,,13/09/2023
S0443,,MASKING,"MASKING TAPE, 125 18MMX50M",NAVITEK,125,5,,,13/09/2023
S0444,AREA EX5,CAJA NAP,CAJA TERMINAL OPTICA AEREA 1X8/SCU/PC (PANQUESITOS),FIBERHOME,1034611,30,,,13/09/2023
S0445,,TAQUETE,TAQUETE DE FIJACIÓN PARA TODO TIPO DE MURO 5/16,ELPRO,TQ-02,-45,,,14/07/2023
S0445,AREA OFI,ROUTEADOR,ROUTER,V-SOL,V2801SG,-2,,,15/09/2023
S0446,OFI,PUNTO DE ACCESO,PUNTO DE ACCESO WI-FI 802.11 AC 2.03 GBP,GRANDSTREAM,GWN7624,2,,,15/09/2023
S0447,AREA OFI,ONU,"ONU, TEMRINAL DE RED ÓPTICA",C-DATA,FD511G,1,,,15/09/2023
S0448,AREA OFI,ONU,"ONU, TERMINA DE RED ÓPTICA, XPON ONU",C-DATA,FD512XW,-30,,,15/09/2023
S0449,AREA OFI,LECTOR DE CODIGO,LECTOR DE CODIGO DE BARRAS INALAMBRICO CON BASE DE CARGA ZK,ZKTECO,ZKB106,1,,,15/09/2023
S0450,AREA B,PUNTAS PARA DESARMADOR,"PUNTAS PARA DESARMADOR INSERT BITS, PUNTA PLANA, 1/4""X2",TRUPER,P5-24,5,,,18/09/2023
S0451,AREA B,NAVAJA,"NAVAJA ABATIBLE, CON CUCHILLAS, DOBLE BISEL PARA MAYOR RESISTENCIA Y CORTES PRECISOS",TRUPER,NV-6X,3,,,18/07/2023
S0452,AREA BAJ,MASTIL,MASTIL TELESCOPICO 3 MTS. C. 20,,5419,-5,,,
S0453,AREA EX5,BRAZO,Brazo de Extensión 40 CM.,--,--,16,,,17/11/2022
S0454,AREA EX5,BRAZO,BRAZO DE EXTENSIÓN DE 60 CM.,--,--,-13,,,17/11/2022
S0455,AREA EX5,BRAZO,BRAZO DE EXTENSIÓN 1 METRO.,---,---,3,,,17/11/2022
S0456,AREA EX5,CARRETE DE FIBRA ÓPTICA,CARRETE DE FIBRA OPTICA 500 M. COLOR NEGRO,CONDUMEX,1052261,-1900,,,18/09/2023
S0457,AREA EX5,PREFORMADO,"PREFORMADO PARA 12 HILOS, COLOR AMARILLO CHICO, 40 CM",---,---,360,,,18/04/2023
S0458,AREA EX1,FLEJE,"FLEJE DE ACERO INOXIDABLE 15.8MM 5/8"" ROLLO DE 30.5M",OPTRONICS,---,-2,,,01/06/2023
S0459,AREA BAJ,PERTIGA,"PERTIGA DE FIBRA, COLOR NARANJA",----,---,0,,,01/02/2023
S0460,AREA EX5,JOTA,"Herraje de Suspensión tipo J para fibra Mini ADSS Φ 6-8 mm, JOTA",LINKEDPRO,LPSCJH0608,6,,,25/08/2023
S0461,AREA B,MANGA TERMICA,MANGA TERMICA,--,--,690,,,20/09/2023
S0462,AREA EX1,CABLE DE UTP,"CARRETE DE CABLE UTP CAT 5E BLANCO, UNFORRO 305 M",ETERN,--,0,,,20/09/2023
S0463,AREA EX1,CABLE DE UTP,"CARRETE DE CABLE UTP CAT 5E BLANCO, UNFORRO 305 M.",VIAKON,---,1,,,20/09/2023
S0464,AREA EX1,CABLE DE UTP,"CARRETE DE CABLE UTP CAT 5E BLANCO, UNFORRO 305 M.",FIBERHOME,---,3,,,20/09/2023
S0465,PROYECTOS,GABINETE,Gabinete Plástico para Exterior (IP65) de 160 x 160 x 90 mm Cierre por Tornillos.,TXPRO,TXG015TS,0,,,20/09/2023
S0466,AREA BAJ-1,MARRO,"MARRO AZUL, 4 LIBRAS",STRIKE-SHIELD,MD-4FK,1,,,11/10/2023
S0467,AREA BAJ-1,ROTOMARTILLO,ROTOMARTILLO AZUL,BOSCH,GBM-13,1,,,11/10/2023
S0468,AREA B,JUMPER,JUMPER SM 1F JUMPERLC/UPC- SC/APC 3 METROS ,LINKEDPRO ,LPFOLCUSCA03,10,,,13/10/2023
S0469,AREA A,ROUTER,MODEM / ROUTER 300 MBPS WIRELES. NEGRO,HIK VISION,DS-3WR3N,5,,,14/10/2023
S0470,,CAMARA,"CAMARA BLANCA, WHITE LIGHT DISTANCE: 40 M, 0.0005 LUX, 2.8 MM",HIK VISION,DS-2CE72UF3T-E,3,,,14/10/2023
S0471,,CAMARA,"CAMARA BLANCA, 2.7-13.5 MM, 8MP/0.01 LUX @ (F 1.2, AGC ON), O LUX WITH IR",HIK VISION,DS-2CE19U1T-AIT3ZF,4,,,14/10/2023
S0476,AREA B,CONECTORES,FMC21201-2-SC/APC CONECTOR HUAWEI,HUAWEI,FMC2101-2,80,,,17/10/2023
S0477,AREA ABAJO,ROSETA,ROSETA DE HUAWEI ,HUAWEI ,ATB3101-1B,9,,,17/10/2023
S0478,OFICINA,MULTIMETRO,"MULTIMETRO PARA MANTENIMIENTO INDUSTRIAL CON GANCHO, CONTIENE 2 PUNTAS PROBADORAS, 1 SONDA TERMOPAR, 1 ESTUCHE PARA TRANSPORTAR, 1 CORREA PARA COLGAR Y 1 PILA DE 9 V",TRUPER,MUT-202,1,,,25/10/2023
S0479,AREA BAJA,BOCINA,"BOCINA NEGRA 12"", Bluetooth, Alámbrico/Inalámbrico, 20W RMS, 13.600W PMPO, USB",DONKER,GEM-6112,2,,,05/08/2023
S0480,AREA ARRIBA,FUSIONADORA,"FUSIONADORA NARAJANJA PARA 12 HILOS, CON 2 HOLDERS MODELO FHM-12U, 1 HOLDR MOD. FHM-GA Y CORTADORA FUJIKURA S503, EN CAJA LIKUS",SUMITOMO ELECTRIC,TYPE-Q102-M12,1,,,25/10/2023
S0481,AREA BAJA,CAVADOR,CAVADOR AGRICOLA T/HERCULES MGO/FIBRA 48,TRUPER,CA-38,1,,,25/10/2023
S0482,AREA BAJA,BARRETA,BARRETA DE PUNTA DE 1-1/4' X 1.75 MTS,TRUPER,BAP-150,1,,,25/10/2023
S0483,AREA ARRIBA,GENERADOR,"GENERADOR AMARILLO 1600, CON CAPACIDAD DE 5.5 L",EVANS,G16MG03007,1,,,01/01/2023
S0484,OFICINA,TESTER,"PROVADOR DE VIDEO 4.3"" , Negro/Rojo, IPC TESTER, CONTIENE CARGADOR Y CABLES DE MEDICION",EPCOM,EPMONTVI4K,1,,,01/01/2023
S0485,OFICINA,COMPUTADORA,"COMPUTADORA / LAPTOP, NEGRA DE 13""",DELL,DNXCBH2,1,,,01/01/2023
S0486,AREA BAJA,ESCALERAS,"ESCALERAS / BURRITO, COLO AZUL",STRONGWELL,124106,2,,,01/01/2023
S0487,AREA BAJA,ESCALERAS,ESCALERAS / BURRITA COLOR GRIS DE 2.44 M.,CUPRUM,C-228717,3,,,01/01/2023
S0488,AREA BAJA,ESCALERAS,"ESCALERAS NARANJA, 300 LB. DE 8.53 M.",WERNER,113527,5,,,01/01/2023
S0489,AREA BAJA,ESCALERAS,"ESCALERAS COLOR GRIS, DE 8.53 M. ",ESCALUMEX,----,1,,,01/01/2023
S0490,AREA BAJA,CONOS,"CONOS DE SEÑALAMIENTO, 70 CM. COLOR NARANJA",----,---,6,,,01/01/2023
S0491,AREA BAJA,CONOS,"CONOS DE SEÑALAMIENTO, COLOR NARANJA DE 33 CM.",BESTCONSUMER,059520,2,,,01/01/2023
S0492,AREA BAJA,CONOS,"CONOS DE SEÑALAMIENTO, COLOR NARANJA, DE 45 CM.",---,---,2,,,01/01/2023
S0493,AREA BAJA,ALAMBRE GALVANIZADO,"ALAMBRE GALVANIZADO CAL. 16, POR KILO",----,01ALGA16,176,,,01/01/2023
S0494,AREA BAJA,MESA,"MESA BLANCA, PARA FUSIONAR DE 120X60 CM.",DUNP,-----,1,,,01/01/2023
S0495,AREA BAJA,SOMBRILLA,SOMBRILLA PARA FUSIÓN COLOR NARANJA,---,---,1,,,01/01/2023
S0496,AREA BAJA,SOMBRILLA,SOMBRILLA PARA FUSIÓN COLOR ROJA,---,---,1,,,01/01/2023
S0497,AREA BAJA,BANDOLA,"KIT DE BANDOLA, 1 BANDOLA TALLA 40 / CINTURON, COLO CAFE CON VERDE",TULMEX,5268,1,,,01/01/2023
S0498,AREA BAJA,BOLSA DE CARGO,"BOLSA DE CARGO PARA BANDOLA, DE PIEL COLOR CAFE",---,--,8,,,01/01/2023
S0499,AREA BAJA,CASCO,"CASCO DE PROTECCIÓN ALA COMPLETA, COLOR BLANCO",TRUPER,CAS-03X,3,,,01/01/2023
S0500,AREA BAJA,GUANTES,GUANTES DE PIEL COLOR CAFE. PARES,VARIAS,----,3,,,01/01/2023
S0501,AREA BAJA,PREFORMADO,"PREFORMADO AMARILLO, 77 CM, PARA 96 HILOS",----,----,148,,,18/10/2023
S0502,BAJA,CIERRE DE EMPALME,"Cierre de Empalme para 24 fusiones de fibra óptica, Interior/Exterior, con 8 acopladores SC/APC y splitter 1x8, IP65",LINKEDPRO,LPFAT08,0,,,07/10/2023
S0503,BAJA,POLIPASTO,POLIPASTO DE ÁLANCA,TRUPER,POPA-1-1/2,1,,,31/10/2023
S0504,,JOTA,"Herraje de Suspensión tipo J para fibra ADSS Φ 10-15 mm, JOTA GRANDE",LINKEDPRO,LPSCJH1015,5,,,07/10/2023
S0505,AREA B,CONECTOR DE FIBRA OPTICA,CONECTOR DE FIBRA OPTICA VERDE LIMON,GT NETWORKS,FOCSA-08-PP,1000,,,01/01/2023
S0506,AREA B,LENTES DE SEGURIDAD,LENTE SV1006NGR RODIUM NGO/MICA GRIS,MRSEGURIDAD,MRSV1006NGR,4,,,08/11/2023
S0507,AREA B,GUANTES,"GUANTES DE NYLON RECUBIERTOS DE NITRILO, ALTA SENSIBILIDAD, MEDIANA",TRUPER,GU-132,1,,,08/11/2023
S0508,AREA B,GUANTES,"GUANTES DE NYLON RECUBIERTOS DE NITRILO, ALTA SENSIBILIDAD, TALLA GRANDE",TRUPER,GU-133,2,,,08/11/2023
S0509,AREA B,JUEGO DE LLAVES ALLEN ESTANDAR,"JUEGO DE LLAVES ALLEN NEGRO MEDIDAS 3/64, 1/16, 5/64, 3/32, 7/64, 1/8, 9/64, 5/32, 3/16, 7/32, 1/4, 5/16, 3/8",PRETUL,ALL-13P-P,1,,,11/11/2023
S0510,AREA B,CINTA SELLA ROSCA/ TEFLON,CINTA SELLA ROSCA DE 13 MM (1/2) X 0.075 MM X 7 M BLANCA,TRUPER,12520 CTF-1/2,72,,,11/11/2023
S0511,AREA EXT,FLEJE DE ACERO,"FLEJE DE ACERO DIMENSION 15,8 X 0,7 MM",TELENCO NETWORKS,93506,-1,,,11/11/2023
S0512,AREA A,MEDIDOR DE POTENCIA,"MEDIDO DE POTENCIA PON, NARANJA. SERIE PPM23026812",----,PPM,1,,,01/10/2023
S0513,AREA A,IDENTIFICADOR DE FIBRA ÓPTICA,"IDENTIFICADOR DE FIBRA ÓPTICA, COLOR AZUL / NEGRO, SERIE 22098356",---,OFI,1,,,01/10/2023
S0514,AREA A,ADAPTADOR METALICO,"ADAPTADOR METALICO DE RACK 19""PARA VIDEO GRABADORA DS7608/7616",EPCOM INDUSTRIAL,EIADAPDS76,1,,,01/10/2023
S0515,AREA,DISCO DURO,Disco Duro Purple de 1 TB / 5400 RPM / Optimizado para Soluciones de Videovigilancia / Uso 24-7 / 3 Años de Garantia,WESTERN DIGITAL (WD),WD10PURZ,1,,,01/10/2023
S0516,AREA,CONTROLADOR SOLAR,"Controlador Solar MPPT 30A 12/24V, Maximo Voltaje de Circuito Abierto Voc 150Vcc, Parámetros Configurables",EPEVER,TRACER3215BN,1,,,01/10/2023
S0517,AREA,FUENTE DE PODER,"Fuente de Poder Profesional HEAVY DUTY @ 30 Amperes / 18 canales / Hasta 2.5 Amperes por Salida / Protección Contra Sobrecargas / Filtro de Ruido por Canal / Aprobaciones: IEC/EN/UL/CSA, 60950 GB4943.",EPCOM POWERLINE,XP18DC30HD,1,,,01/10/2023
S0518,AREA,INYECTOR POE,"Inyector PoE Pasivo 48vcc Gigabit para APs Grandstream hasta 24W GWN7605, GWN7605LR, GWN7615, GWN7630, GWN7630LR, GWN7660, GWN7660LR y GWN7664.",GRANDSTREAM,G0720480050,1,,,01/10/2023
S0519,AREA A,ROUTER,Router Inalámbrico WISP / Hasta 1200 Mbps / Doble Banda AC (2.4 GHz y 5 GHz) / 4 Puertos 10/100 Mbps / 4 Antenas Omnidireccional de 5 dBi / Interior,HIKVISION,DS3WR12C,1,,,01/10
S0520,AREA A,ROUTER,"Router Gigabit VPN / Balanceador de cargas / 60,000 sesiones NAT / 9 puertos 10/100/1000 Mbps + 2 puertos SFP (WAN/LAN) / 1 puerto entrada PoE(af/at) / 2 puertos salida PoE (af/at) / Compatible con GWN Cloud.",GRANDSTREAM,GWN7003,1,,,01/10
S0521,AREA BAJA,PREFORMADO,"PREFORMADO NARAJA, PARA FIBRA DE 96, 80 CM. GRANDE",----,----,51,,,01/01/2023
S0522,AREA BAJA,PREFORMADO,PREFORMADO ROJO DE 85 CM. GRANDES,---,---,130,,,01/01/2023
S0523,AREA,FLEJE,"FLEJE DE ACERO, ROJO",ALSAN,---,-3,,,01/01/2023
S0524,AREA BAJA,HERRAJE TREBOL,HERRAJE TIPO TREBOL,---,---,-70,,,01/01/2023
S0525,AREA,CUBRENUCA,"CUBRENUCA SR1040 DE ALTA VISBILIDAD, NARANJA.",MR SEGURIDAD,MRSR1040-NJ,5,,,15/11/2023
S0526,AREA,CASCO,"CASCO DE SEGURIDAD ALA COMPLETA, CASCO DE POLIETILENO DE ALTA DENSIDAD, BLANCO",TRUPER,CAS-BX,5,,,15/11/2023
S0527,AREA,BRAZO,"Brazo de Extensión 100 CM para uso con Herraje Tipo ""J"" (LP-SC-JH-10-15 o LP-SC-JH-06-08)",LINKEDPRO BY EPCOM,LPBDE100,5,,,11/11/2023
S0528,,SPLITTER,"Splitter (Divisor Óptico) tipo PLC, de 1x8, para fusión (sin conectores)",FIBERHOME,PLC108S,23,,,16/11/2023
S0529,AREA,LOZALIZADOR,Localizador vehicular 4G -3G- 2G + WIFI,CONCOX,VL01,1,,,16/11/2023
S0530,AREA,DISTRIBUIDOR DE FIBRA ÓPTICA,"Distribuidor de Fibra Óptica con bandejas deslizables, vacío, 19in, acepta 72 adaptadores ""LC Duplex"" o ""LC Simplex"" o 72 ""SC"" Simplex, 4U",LINKEDPRO BY EPCOM,LPODF8072,0,,,16/11/2023
S0531,AREA BAJA,PREFORMADO,"PREFORMADO DE COLOR NEGRO, 24 HILOS, DE 80 CM. GRANDE",----,----,2,,,01/11/2023
S0532,AREA BAJA,CARRETE DE FIBRA OPTICA,"Carrete de 4 km de Fibra Óptica Aérea Mini ADSS (ASU) G.652D, Monomodo de 12 Hilos, Exterior, Span 80, Loose Tube",LINKEDPRO BY FIBERHOME,MINIADSS12C/4KM,19730,,,27/11/2023
S0533,AREA A,ROUTER,"Home Router inalámbrico MESH WI-FI 5 2x2 doble banda 1 puerto WAN Gigabit y 3 puertos LAN Gigabit, hasta 1,267 Mbps.",RUIJIE,	RGEW1200GPRO,0,,,15/06/2023
S0534,,PIJA,PIJA DE 1 1/2,-----,-----,335,,,01/01/2023
S0535,ATRAS DE ING.,JUMPER,"Jumper de Fibra Óptica Simplex, Monomodo, con Conectores SC/UPC-SC/APC, de 10 Metros, CABLE AMARRILO, CONECTORES VERDE/AZUL",FIBERHOME,OFCSC/UPCSC/APCS3010,26,,,18/11/2023
S0536,ATRAS DE ING. CESAR,JUMPER,"Jumper de Fibra Óptica Simplex, Monomodo, con Conectores SC/APC-SC/APC, 10 metros, CABLE AMARILLO, CONECTORES VERDE/AZUL",FIBERHOME,OFCSC/APCSC/APCS3010,32,,,18/11/2023
S0537,,FUENTE DE PODER,"OLT Fuente de alimentación dedicada de 220 V a 48 V 30 A, FUENTE DE PODER PARA OLR",HUAWEI,ETP4830,9,,,01/06/2023
S0538,,PUNTO DE ACCESO,"Punto de acceso para exterior Wi-Fi 802.11 ac 1.27 Gbps, Wave-2, MU-MIMO 2x2:2 con administración desde la nube gratuita o stand-alone.",GRANDSTREAM,GWN7605LR,1,,,14/12/2023
S0539,,,"Satélite Gtmedia Freesat 1080p Hd Gtmedia V8 Finder De 2 Met, VERDE",GTMEDIA,V8FINDER2,2,,,14/12/2023
S0540,,SWITCH,Switch Gigabit Administrable / 24 puertos 10/100/1000 Mbps + 4 Puertos SFP Uplink / Compatible con GWN Cloud.,GRANDSTREAM,GWN7803,1,,,21/11/2023
S0541,,EXTENSION,"EXTENSION ELECTRICA USO RUDO POLARIZADA PARA INTERIOR, 16AWG 13 A, NARANJA, 10 M. ",VOLTECK,ER-10X16,1,,,14/12/2023
S0542,,ANTENA EXTERIOR,"Antena Hd Zona Difícil Recepción 40elem Master Tvant-25elem, ANTENA EXTERIOR DIGITAL PARA ALTA DEFINICION",MASTER,TVANT-25ELEM,3,,,16/11/2023
S0543,AREA B,CABLE,"CABLE DB 9, DB-9 MACHO A DB-9 HEMBRA, COLOR NEGRO 1 M.",S/M,S/M,2,,,20/12/2023
S0544,AREA B,CABLE,"Cable Impresora, Cable USB 2.0 Tipo B a USB Tipo A 1.5M para Impresora de Escáner HP, Canon, Lexmark, Epson, DELL, Xerox o Samsung, Entre Otros (1.5 Metros)",S/M,S/M,2,,,12/12/2023
S0545,AREA B,GUANTES,"GUANTES DE NYLON RECUBIERTOS DE POLIURETANO, ALTA SENSIBILIDAD, TALLA CHICA",TRUPER,GU-111,1,,,12/12/2023
S0546,AREA B,CABLE,"CABLE DE DB9 A DB25, 9 PINES A 25 PINES, COLOR NEGRO DE 1 M.",S/M,S/M,1,,,12/12/2023
S0547,AREA A,INYECTOR POE,"Inyector PoE Pasivo 48vcc Gigabit para APs Grandstream hasta 24W GWN7605, GWN7605LR, GWN7615, GWN7630, GWN7630LR, GWN7660, GWN7660LR y GWN7664.",GRANDSTREAM,G0720480050,1,,,12/12/2023
S0548,AREA A,ROUTERBOARD,"RouterBoard, CPU 2 Núcleos, 10 Puertos Gigabit Ethernet, 1 Puerto SFP, 1 GB Memoria, Licencia Nivel 5, Montaje Rack",MIKROTIK,RB3011UIASRM,1,,,20/12/2023
S0549,AREA A,SWITH,"Cloud Router Switch CRS317-1G-16S+RM 16 Puertos SFP+, 1 Puerto Gigabit Ethernet",MIKROTIK,CRS3171G16SRM,1,,,20/12/2023
S0550,AREA EX,GABINETE,"Gabinete de Pared Fijo, Puerta Perforada, Rack 19in, de 12 Unidades de Rack",LINKEDPRO BY EPCOM,SR1912GFPVR2,1,,,20/12/2023
S0551,,PIJAS,"PIJAS AUTOTALADRANTES, 1/2""",S/M,TLK8X12,100,,,20/12/2023
S0552,,CLAVO,"CLAV DE 1 1/2""",S/M,S/M,500,,,20/12/2023
S0553,AREA A,CAMARA,CAMARA: AUDIO POR COAXITRON / Turret TURBOHD 1080p / Imagen a Color 24/7 / Lente 2.8 mm / ColorVu Lite / Luz Blanca 20 mts / Uso Interior / Policarbonato,HILOOK,THCT129PS,0,,,22/12/2023
S0554,AREA A,FUENTE DE ALIMENTACIÓN,Fuente de Alimentación de 4 Salidas de 11 - 15 Vcc / 5 Amper / Voltaje de Entrada 110- 240 Vac / Fusible Termico PTC Integrado para Protección / Salida de Voltaje Inteligente hasta 3 Amper por Salida,EPCOM POWERLINE,	PS12DC4C,0,,,22/12/2023
S0555,AREA A,DVR,DVR 4 Canales TurboHD + 2 Canales IP / 4 Megapixel Lite / Audio por Coaxitron / 1 Bahia de Disco Duro / H.265+ / Salida de Video en Full HD,HiLook by HIKVISION,DVR204QK1(C)(S),0,,,22/12/2023
