CODIGO,UBICACION,PRODUCTO,DESCRIPCION,MARCA,MODELO,STOCK,OBSERVACIONES,IMAGEN,FECHA DE INGRESO,,,,,,,,,
S0419,AREA B,CABLE,"Cable USB a RJ45, USB2.0 Macho a RJ45 Macho CAT5 Cable Plano de Consola Serie para Cisco Routers Switches para Cisco (Cisco) Routers, Huawei, Juniper, 3COM, Ruijie Routers/Switches",RICHER-R,E-228840,1,,,13/07/2023,,,,,,,,,
S0420,,CABLE,"Cable DB de 9 pines SVGA / VGA de 15 pines macho, NEGRO",TRIPP-LITE,--,1,,,13/07/2023,,,,,,,,,
S0421,AREA B,CABLE,"Cable DB de 9 pines SVGA / VGA de 9 pines macho, GRIS",NANKE,--,1,,,13/07/2023,,,,,,,,,
S0422,AREA B,CABLE,"TIPO B a DB9, DB9 9 pines puerto serie macho a TIPO B, NEGRO CONECTOR AZUL",--,--,1,,,13/07/2023,,,,,,,,,
S0423,AREA B,CABLE,Cable serie DB9 de 15 pies macho a macho RS232 recto a través de cable de datos de 9 pines,--,--,1,,,13/07/2023,,,,,,,,,
S0424,AREA B,CABLE,Convertidor USB A Serial Db9M,MANHATTAN,--,1,,,13/07/2023,,,,,,,,,
S0425,AREA A,CAMARA,"CAMARA, AUDIO POR COAXITRON / Turret TURBOHD 5 Megapixel / Angulo de vision 85.5° / Lente 2.8 mm / 30 mts IR EXIR / Exterior IP67 / 4 Tecnologías / Dwdr",EPCOM,E50TURBOG2/A,1,,,17/07/2023,,,,,,,,,
S0426,AREA E,CAMARA,Mini Cámara IP PT 2 Megapíxel / Wi-Fi / Seguimiento Inteligente / Audio de Dos Vías / Notificación Push / Ranura para Memoria / Uso en Interior,EZVIZ,C6N,1,,,17/07/2023,,,,,,,,,
S0427,AREA EX2,GABINETE,ORGANIZADOR VERTICAL MEDIANO D/CABLES 21UR,LINKEDPRO,LPCV21URM,2,,,06/09/2023,,,,,,,,,
S0428,AREA EX4,RACK,"RACK ABIERTO DE 19"", 24 UNIDADES, BASE TIPO L.PIEZA 1 DE 2",LINKEDPRO,EIRL5524,0,,,06/09/2023,,,,,,,,,
S0429,,RACK,"RACK ABIERTO DE 19"", 24 UNIDADES, BASE TIPO L. PIEZA 2 DE 2",LINKEDPRO,EIRL5524,0,,,06/09/2023,,,,,,,,,
S0430,AREA EX4,GABINETE,ORGANIZADOR VERTICAL GRANDE DE CABLES 24UR,LINKEDPRO,LPCV24URL,2,,,06/09/2023,,,,,,,,,
S0431,AREA B,PUNTAS,"PUNTAS PARA DESARMADOR PHILLIPS PH2,2"",50 PZS, TRUPER EXPERT",TRUPER,PUDE-1202-50,49,47,,45181,,,,,,,,,
S0432,AREA B,PINZAS,"PINZAS DE ELECTRICISTA MANGO BICOLOR DE 9""",TRUPER,T200-9XDR-14X6,-1,1,,45181,,,,,,,,,
S0433,AREA B,GUANTES,"GUANTES LIGEROS DE PIEL DE CABRA, BLANCOS, PARA INSTALACIÓN ELECTRICA",TRUPER,GU-725,1,,,45115,,,,,,,,,
S0434,AREA B,LLAVE,"LLAVE AJUSTABLE (PERICO) 6"" DOBLE GRIP",TRUPER,PET-6X,0,,,45181,,,,,,,,,
S0435,AREA B,MARTILLO,MARTILLO DE UÑA CURVA 16 OZ GRANALLADO,TRUPER,MA-16,0,,,45181,,,,,,,,,
S0436,AREA P3,RACK,"RACK ABIERTO DE 19"", 9 UNIDADES, PARA USO EN MESA, IDEAL EN INSTALACIONES TEMPORALES",LINKEDPRO,LPIR10U,1,,,06/09/2023,,,,,,,,,
S0437,AREA B,BOLSA,PORTAHERRAMIENTAS DE 26.6 X 26.8 CM NEGRO ,MCGUIRE NICHOLAS,866053,0,,,45181,,,,,,,,,
S0438,AREA B,PINZA,"PINZA DE CORTE DIAGONAL 6"" MGOS RECUBIERTOS",TRUPER,T202-6,2,,,45181,,,,,,,,,
S0439,AREA P3,ORGANIZADOR,"ORGANIZADOR DE CABLES PARA DOS UNIDADES DE RACK, CON TAPA METALICA ABATIBLE.",THELECOM,THE-004-0032-001-001,3,,,06/09/2023,,,,,,,,,
S0440,AREA EX1,CAJA PARA HERRAMIENTA,CAJA PARA HERRAMIENTA DEWALT-CAJA SUPERIOR ORGANIZADO,DEWALT,DWST17807,2,,,45181,,,,,,,,,
S0441,AREA EX1,SPLITTER,"SPLITTER 1X8, COLOR AZUL",S/M,S/M,104,,,06/09/2023,,,,,,,,,
S0442,,CINTA ADHESIVA,CINTA ADHESIVA 72MMX150MM,NAVITEK,245,9,,,13/09/2023,,,,,,,,,
S0443,,MASKING,"MASKING TAPE, 125 18MMX50M",NAVITEK,125,5,,,13/09/2023,,,,,,,,,
S0444,AREA EX5,CAJA NAP,CAJA TERMINAL OPTICA AEREA 1X8/SCU/PC (PANQUESITOS),FIBERHOME,1034611,24,HAY 1 EN EL AREA EX4 RESTO AREA BAJA,,13/09/2023,,,,,,,,,
S0445,AREA B,TAQUETE,TAQUETE DE FIJACIÓN PARA TODO TIPO DE MURO 5/16,ELPRO,TQ-02,390,346,,14/07/2023,,,,,,,,,
S0446,AREA OFICINA,PUNTO DE ACCESO,PUNTO DE ACCESO WI-FI 802.11 AC 2.03 GBP,GRANDSTREAM,GWN7624,1,,,15/09/2023,,,,,,,,,
S0447,AREA OFICINA,ONU,"ONU, TEMRINAL DE RED ÓPTICA",C-DATA,FD511G,-2,,,15/09/2023,,,,,,,,,
S0448,AREA OFICINA,ONU,"ONU, TERMINA DE RED ÓPTICA, XPON ONU",C-DATA,FD512XW,-44,,,15/09/2023,,,,,,,,,
S0449,AREA OFICINA,LECTOR DE CODIGO,LECTOR DE CODIGO DE BARRAS INALAMBRICO CON BASE DE CARGA ZK,ZKTECO,ZKB106,1,Se coloca atrás del lugar del ing. Cesar,,15/09/2023,,,,,,,,,
S0450,AREA B,PUNTAS PARA DESARMADOR,"PUNTAS PARA DESARMADOR INSERT BITS, PUNTA PLANA, 1/4""X2",TRUPER,P5-24,5,,,18/09/2023,,,,,,,,,
S0451,AREA B,NAVAJA,"NAVAJA ABATIBLE, CON CUCHILLAS, DOBLE BISEL PARA MAYOR RESISTENCIA Y CORTES PRECISOS",TRUPER,NV-6X,2,,,18/07/2023,,,,,,,,,
S0452,AREA BAJ,MASTIL,MASTIL TELESCOPICO 3 MTS. C. 20,,5419,-6,HAY 1,,,,,,,,,,,
S0453,AREA EX5,BRAZO,Brazo de Extensión 40 CM.,--,--,15,HAY 3,,17/11/2022,,,,,,,,,
S0454,AREA EX5,BRAZO,BRAZO DE EXTENSIÓN DE 60 CM.,--,--,-21,HAY 16,,17/11/2022,,,,,,,,,
S0455,AREA EX5,BRAZO,BRAZO DE EXTENSIÓN 1 METRO.,---,---,-1,,,17/11/2022,,,,,,,,,
S0456,AREA EX5,CARRETE DE FIBRA ÓPTICA,CARRETE DE FIBRA OPTICA 500 M. COLOR NEGRO,CONDUMEX,1052261,-1900,,,18/09/2023,,,,,,,,,
S0457,AREA EX5,PREFORMADO,"PREFORMADO PARA 12 HILOS, COLOR AMARILLO CHICO, 40 CM",---,---,497,Entraron 200,,18/04/2023,,,,,,,,,
S0458,AREA EX1,FLEJE,"FLEJE DE ACERO INOXIDABLE 15.8MM 5/8"" ROLLO DE 30.5M",OPTRONICS,---,-3,HAY 1 EN AREA EX,,01/06/2023,,,,,,,,,
S0459,AREA BAJ,PERTIGA,"PERTIGA DE FIBRA, COLOR NARANJA",----,---,0,,,01/02/2023,,,,,,,,,
S0460,AREA EX5,JOTA,"Herraje de Suspensión tipo J para fibra Mini ADSS Φ 6-8 mm, JOTA",LINKEDPRO,LPSCJH0608,24,,,25/08/2023,,,,,,,,,
S0461,AREA B,MANGA TERMICA,MANGA TERMICA,--,--,690,,,20/09/2023,,,,,,,,,
S0462,AREA EX1,CABLE DE UTP,"CARRETE DE CABLE UTP CAT 5E BLANCO, UNFORRO 305 M",ETERN,--,0,,,20/09/2023,,,,,,,,,
S0463,AREA EX1,CABLE DE UTP,"CARRETE DE CABLE UTP CAT 5E BLANCO, UNFORRO 305 M.",VIAKON,---,0,,,20/09/2023,,,,,,,,,
S0464,AREA EX1,CABLE DE UTP,"CARRETE DE CABLE UTP CAT 5E BLANCO, UNFORRO 305 M.",FIBERHOME,---,0,,,20/09/2023,,,,,,,,,
S0465,PROYECTOS,GABINETE,Gabinete Plástico para Exterior (IP65) de 160 x 160 x 90 mm Cierre por Tornillos.,TXPRO,TXG015TS,0,1 EN AREA D,,20/09/2023,,,,,,,,,
S0466,AREA BAJ-1,MARRO,"MARRO AZUL, 4 LIBRAS",STRIKE-SHIELD,MD-4FK,1,,,11/10/2023,,,,,,,,,
S0467,AREA BAJ-1,ROTOMARTILLO,ROTOMARTILLO AZUL,BOSCH,GBM-13,1,,,11/10/2023,,,,,,,,,
S0468,AREA B,CINTA PARA IMPRESORA,CINTA TZ PARA ROTULADORAS P-TOUCH ,BROTHER,TZE-241,2,,,45343,,,,,,,,,
S0469,AREA A,ROUTER,MODEM / ROUTER 300 MBPS WIRELES. NEGRO,HIKVISION,,6,,,14/10/2023,,,,,,,,,
S0470,AREA A,CAMARA,"CAMARA BLANCA, WHITE LIGHT DISTANCE: 40 M, 0.0005 LUX, 2.8 MM",HIKVISION,DS-2CE72UF3T-E,10,,,14/10/2023,,,,,,,,,
S0471,,CAMARA,"CAMARA BLANCA, 2.7-13.5 MM, 8MP/0.01 LUX @ (F 1.2, AGC ON), O LUX WITH IR",HIKVISION,DS-2CE19U1T-AIT3ZF,4,,,14/10/2023,,,,,,,,,
S0472,AREA OFICINA,ROUTEADOR,ROUTER,V-SOL,V2801SG,-7,1,,45184,,,,,,,,,
S0473,AREA EXT,PLACA,"PLACA DE PLASTICO CIEGA, LINEA OSIO,  COLOR BLANCO",VOLTECK,PPCI-OB,20,,,45348,,,,,,,,,
S0474,AREA EXT,CAJA DE CONTACTO,CAJA DE CONTACTO PARA CANALETA 3'X5' COLOR BLANCO,VOLTECK,CRU-3X5,19,,,45348,,,,,,,,,
S0475,AREA B,CONVERTIDOR,MODULO CONVERTIDOR DE SFP A ETHERNET 10/100/1000/Mbit/S,MIKROTIK,S-RJ01,2,,,45348,,,,,,,,,
S0476,AREA EX2,CONECTORES,FMC21201-2-SC/APC CONECTOR HUAWEI,HUAWEI,FMC2101-2,80,,,17/10/2023,,,,,,,,,
S0477,AREA ABAJO,ROSETA,ROSETA DE HUAWEI ,HUAWEI ,ATB3101-1B,9,HAY 3 EN EL AREA EX2,,17/10/2023,,,,,,,,,
S0478,AREA OFICINA,MULTIMETRO,"MULTIMETRO PARA MANTENIMIENTO INDUSTRIAL CON GANCHO, CONTIENE 2 PUNTAS PROBADORAS, 1 SONDA TERMOPAR, 1 ESTUCHE PARA TRANSPORTAR, 1 CORREA PARA COLGAR Y 1 PILA DE 9 V",TRUPER,MUT-202,1,Atrás del Ing. Cesar,,25/10/2023,,,,,,,,,
S0479,AREA BAJA,BOCINA,"BOCINA NEGRA 12"", Bluetooth, Alámbrico/Inalámbrico, 20W RMS, 13.600W PMPO, USB",DONKER,GEM-6112,2,,,05/08/2023,,,,,,,,,
S0480,AREA ARRIBA,FUSIONADORA,"FUSIONADORA NARAJANJA PARA 12 HILOS, CON 2 HOLDERS MODELO FHM-12U, 1 HOLDR MOD. FHM-GA Y CORTADORA FUJIKURA S503, EN CAJA LIKUS",SUMITOMO ELECTRIC,TYPE-Q102-M12,1,,,25/10/2023,,,,,,,,,
S0481,AREA BAJA,CAVADOR,CAVADOR AGRICOLA T/HERCULES MGO/FIBRA 48,TRUPER,CA-38,1,,,25/10/2023,,,,,,,,,
S0482,AREA BAJA,BARRETA,BARRETA DE PUNTA DE 1-1/4' X 1.75 MTS,TRUPER,BAP-150,1,,,25/10/2023,,,,,,,,,
S0483,AREA ARRIBA,GENERADOR,"GENERADOR AMARILLO 1600, CON CAPACIDAD DE 5.5 L",EVANS,G16MG03007,1,,,01/01/2023,,,,,,,,,
S0484,AREA OFICINA,TESTER,"PROVADOR DE VIDEO 4.3"" , Negro/Rojo, IPC TESTER, CONTIENE CARGADOR Y CABLES DE MEDICION",EPCOM,EPMONTVI4K,1,Atrás del Ing. Cesar,,01/01/2023,,,,,,,,,
S0485,AREA OFICINA,COMPUTADORA,"COMPUTADORA / LAPTOP, NEGRA DE 13""",DELL,DNXCBH2,1,,,01/01/2023,,,,,,,,,
S0486,AREA BAJA,ESCALERAS,"ESCALERAS / BURRITO, COLO AZUL",STRONGWELL,124106,2,HAY 1 ,,01/01/2023,,,,,,,,,
S0487,AREA BAJA,ESCALERAS,ESCALERAS / BURRITA COLOR GRIS DE 2.44 M.,CUPRUM,C-228717,2,HAY 1,,01/01/2023,,,,,,,,,
S0488,AREA BAJA,ESCALERAS,"ESCALERAS NARANJA, 300 LB. DE 8.53 M.",WERNER,113527,5,HAY 3,,01/01/2023,,,,,,,,,
S0489,AREA BAJA,ESCALERAS,"ESCALERAS COLOR GRIS, DE 8.53 M. ",ESCALUMEX,----,1,,,01/01/2023,,,,,,,,,
S0490,AREA BAJA,CONOS,"CONOS DE SEÑALAMIENTO, 70 CM. COLOR NARANJA",----,---,6,,,01/01/2023,,,,,,,,,
S0491,AREA BAJA,CONOS,"CONOS DE SEÑALAMIENTO, COLOR NARANJA DE 33 CM.",BESTCONSUMER,059520,2,,,01/01/2023,,,,,,,,,
S0492,AREA BAJA,CONOS,"CONOS DE SEÑALAMIENTO, COLOR NARANJA, DE 45 CM.",---,---,2,,,01/01/2023,,,,,,,,,
S0493,AREA BAJA,ALAMBRE GALVANIZADO,"ALAMBRE GALVANIZADO CAL. 16, POR KILO",----,01ALGA16,172,,,01/01/2023,,,,,,,,,
S0494,AREA BAJA,MESA,"MESA BLANCA, PARA FUSIONAR DE 120X60 CM.",DUNP,-----,1,,,01/01/2023,,,,,,,,,
S0495,AREA BAJA,SOMBRILLA,SOMBRILLA PARA FUSIÓN COLOR NARANJA,---,---,1,,,01/01/2023,,,,,,,,,
S0496,AREA BAJA,SOMBRILLA,SOMBRILLA PARA FUSIÓN COLOR ROJA,---,---,1,,,01/01/2023,,,,,,,,,
S0497,AREA BAJA,BANDOLA,"KIT DE BANDOLA, 1 BANDOLA TALLA 40 / CINTURON, COLO CAFE CON VERDE",TULMEX,5268,1,,,01/01/2023,,,,,,,,,
S0498,AREA BAJA,BOLSA DE CARGO,"BOLSA DE CARGO PARA BANDOLA, DE PIEL COLOR CAFE",---,--,8,,,01/01/2023,,,,,,,,,
S0499,AREA BAJA,CASCO,"CASCO DE PROTECCIÓN ALA COMPLETA, COLOR BLANCO",TRUPER,CAS-03X,4,,,01/01/2023,,,,,,,,,
S0500,AREA BAJA,GUANTES,GUANTES DE PIEL COLOR CAFE. PARES,VARIAS,----,4,,,01/01/2023,,,,,,,,,
S0501,AREA BAJA,PREFORMADO,"PREFORMADO AMARILLO, 77 CM, PARA 96 HILOS",----,----,148,,,18/10/2023,,,,,,,,,
S0502,AREA EX31,CIERRE DE EMPALME,"Cierre de Empalme para 24 fusiones de fibra óptica, Interior/Exterior, con 8 acopladores SC/APC y splitter 1x8, IP65",LINKEDPRO,LPFAT08,12,,,07/10/2023,,,,,,,,,
S0503,BAJA,POLIPASTO,POLIPASTO DE ÁLANCA,TRUPER,POPA-1-1/2,1,,,31/10/2023,,,,,,,,,
S0504,,JOTA,"Herraje de Suspensión tipo J para fibra ADSS Φ 10-15 mm, JOTA GRANDE",LINKEDPRO,LPSCJH1015,41,HAY 3 EN EL AREA EX,,07/10/2023,,,,,,,,,
S0505,AREA A,CONECTOR DE FIBRA OPTICA,CONECTOR DE FIBRA OPTICA VERDE LIMON,GT NETWORKS,FOCSA-08-PP,1000,,,01/01/2023,,,,,,,,,
S0506,AREA B,LENTES DE SEGURIDAD,LENTE SV1006NGR RODIUM NGO/MICA GRIS,MRSEGURIDAD,MRSV1006NGR,2,,,08/11/2023,,,,,,,,,
S0507,AREA B,GUANTES,"GUANTES DE NYLON RECUBIERTOS DE NITRILO, ALTA SENSIBILIDAD, MEDIANA",TRUPER,GU-132,1,,,08/11/2023,,,,,,,,,
S0508,AREA B,GUANTES,"GUANTES DE NYLON RECUBIERTOS DE NITRILO, ALTA SENSIBILIDAD, TALLA GRANDE",TRUPER,GU-133,2,,,08/11/2023,,,,,,,,,
S0509,AREA B,JUEGO DE LLAVES ALLEN ESTANDAR,"JUEGO DE LLAVES ALLEN NEGRO MEDIDAS 3/64, 1/16, 5/64, 3/32, 7/64, 1/8, 9/64, 5/32, 3/16, 7/32, 1/4, 5/16, 3/8",PRETUL,ALL-13P-P,1,,,11/11/2023,,,,,,,,,
S0510,AREA B,CINTA SELLA ROSCA/ TEFLON,CINTA SELLA ROSCA DE 13 MM (1/2) X 0.075 MM X 7 M BLANCA,TRUPER,12520 CTF-1/2,72,,,11/11/2023,,,,,,,,,
S0511,AREA EXT,FLEJE DE ACERO,"FLEJE DE ACERO DIMENSION 15,8 X 0,7 MM",TELENCO NETWORKS,93506,-2,Hay 1 icompleto abajo,,11/11/2023,,,,,,,,,
S0512,AREA A,MEDIDOR DE POTENCIA,"MEDIDO DE POTENCIA PON, NARANJA. SERIE PPM23026812, pon power meter",PPM,PPM,4,3,,01/10/2023,,,,,,,,,
S0513,AREA A,IDENTIFICADOR DE FIBRA ÓPTICA,"IDENTIFICADOR DE FIBRA ÓPTICA, COLOR AZUL / NEGRO, SERIE 22098356",---,OFI,1,,,01/10/2023,,,,,,,,,
S0514,AREA A,ADAPTADOR METALICO,"ADAPTADOR METALICO DE RACK 19""PARA VIDEO GRABADORA DS7608/7616",EPCOM INDUSTRIAL,EIADAPDS76,0,,,01/10/2023,,,,,,,,,
S0515,AREA,DISCO DURO,Disco Duro Purple de 1 TB / 5400 RPM / Optimizado para Soluciones de Videovigilancia / Uso 24-7 / 3 Años de Garantia,WESTERN DIGITAL (WD),WD10PURZ,1,,,01/10/2023,,,,,,,,,
S0516,AREA A,CONTROLADOR SOLAR,"Controlador Solar MPPT 30A 12/24V, Maximo Voltaje de Circuito Abierto Voc 150Vcc, Parámetros Configurables",EPEVER,TRACER3215BN,1,,,01/10/2023,,,,,,,,,
S0517,AREA A,FUENTE DE PODER,"Fuente de Poder Profesional HEAVY DUTY @ 30 Amperes / 18 canales / Hasta 2.5 Amperes por Salida / Protección Contra Sobrecargas / Filtro de Ruido por Canal / Aprobaciones: IEC/EN/UL/CSA, 60950 GB4943.",EPCOM POWERLINE,XP18DC30HD,1,,,01/10/2023,,,,,,,,,
S0518,AREA A,INYECTOR POE,"Inyector PoE Pasivo 48vcc Gigabit para APs Grandstream hasta 24W GWN7605, GWN7605LR, GWN7615, GWN7630, GWN7630LR, GWN7660, GWN7660LR y GWN7664.",GRANDSTREAM,G0720480050,1,,,01/10/2023,,,,,,,,,
S0519,AREA A,ROUTER,Router Inalámbrico WISP / Hasta 1200 Mbps / Doble Banda AC (2.4 GHz y 5 GHz) / 4 Puertos 10/100 Mbps / 4 Antenas Omnidireccional de 5 dBi / Interior,HIKVISION,DS3WR12C,6,1,,01/10,,,,,,,,,
S0520,AREA A,ROUTER,"Router Gigabit VPN / Balanceador de cargas / 60,000 sesiones NAT / 9 puertos 10/100/1000 Mbps + 2 puertos SFP (WAN/LAN) / 1 puerto entrada PoE(af/at) / 2 puertos salida PoE (af/at) / Compatible con GWN Cloud.",GRANDSTREAM,GWN7003,0,,,01/10,,,,,,,,,
S0521,AREA BAJA,PREFORMADO,"PREFORMADO NARANJA, PARA FIBRA DE 96, 80 CM. GRANDE",----,----,16,,,01/01/2023,,,,,,,,,
S0522,AREA BAJA,PREFORMADO,PREFORMADO ROJO DE 85 CM. GRANDES,---,---,134,,,01/01/2023,,,,,,,,,
S0523,AREA,FLEJE,"FLEJE DE ACERO, ROJO",ALSAN,---,-3,HAY 1 EN AREA EX Y 1 EN AREA BAJA,,01/01/2023,,,,,,,,,
S0524,AREA BAJA,HERRAJE TREBOL,HERRAJE TIPO TREBOL,---,---,-70,HAY 97 AREA BAJA,,01/01/2023,,,,,,,,,
S0525,AREA B,CUBRENUCA,"CUBRENUCA SR1040 DE ALTA VISBILIDAD, NARANJA.",MR SEGURIDAD,MRSR1040-NJ,4,,,15/11/2023,,,,,,,,,
S0526,AREA,CASCO,"CASCO DE SEGURIDAD ALA COMPLETA, CASCO DE POLIETILENO DE ALTA DENSIDAD, BLANCO",TRUPER,CAS-BX,5,,,15/11/2023,,,,,,,,,
S0527,AREA,BRAZO,"Brazo de Extensión 100 CM para uso con Herraje Tipo ""J"" (LP-SC-JH-10-15 o LP-SC-JH-06-08)",LINKEDPRO BY EPCOM,LPBDE100,3,HAY 2,,11/11/2023,,,,,,,,,
S0528,AREA P2,SPLITTER,"Splitter (Divisor Óptico) tipo PLC, de 1x8, para fusión (sin conectores)",FIBERHOME,PLC108S,10,6,,16/11/2023,,,,,,,,,
S0529,AREA OFICINA,LOZALIZADOR,Localizador vehicular 4G -3G- 2G + WIFI,CONCOX,JM-VL01LA,1,Se coloca atrás del lugar del ing. Cesar,,16/11/2023,,,,,,,,,
S0530,AREA,DISTRIBUIDOR DE FIBRA ÓPTICA,"Distribuidor de Fibra Óptica con bandejas deslizables, vacío, 19in, acepta 72 adaptadores ""LC Duplex"" o ""LC Simplex"" o 72 ""SC"" Simplex, 4U",LINKEDPRO BY EPCOM,LPODF8072,0,,,16/11/2023,,,,,,,,,
S0531,AREA BAJA,PREFORMADO,"PREFORMADO DE COLOR NEGRO, 24 HILOS, DE 80 CM. GRANDE",----,----,-11,,,01/11/2023,,,,,,,,,
S0532,AREA BAJA,CARRETE DE FIBRA OPTICA,"Carrete de 4 km de Fibra Óptica Aérea Mini ADSS (ASU) G.652D, Monomodo de 12 Hilos, Exterior, Span 80, Loose Tube",LINKEDPRO BY FIBERHOME,MINIADSS12C/4KM,19329,,,27/11/2023,,,,,,,,,
S0533,AREA A,ROUTER,"Home Router inalámbrico MESH WI-FI 5 2x2 doble banda 1 puerto WAN Gigabit y 3 puertos LAN Gigabit, hasta 1,267 Mbps.",RUIJIE,	RGEW1200GPRO,0,,,15/06/2023,,,,,,,,,
S0534,,PIJA,PIJA DE 1 1/2,-----,-----,335,,,01/01/2023,,,,,,,,,
